Year,Steel per capita
1950,76.47412983245762
1955,99.53338927741417
1960,115.99190483604552
1965,138.19345938945312
1970,162.71512480164884
1975,159.64177725777657
1980,162.67512567458326
1985,149.01113053250478
1990,145.80656015602227
1995,131.70880887540696
2000,138.66358403794376
2005,175.3988702661133
2010,205.67021349947083
2011,217.93660551588215
2012,218.4311606256624
2013,228.23764737003552
2014,228.43887722835404
2015,218.9463215948488
2016,217.44609900585868
2017,228.6059093025735
2018,238.14377031663633
2019,241.79104675204047
2020,239.82939265028529
2021,247.77257244319472
2022,236.52979650240974
2023,236.3307497121217
2024,237.29165244115006
2025,238.86738719935977
2026,240.38358600098695
2027,241.84091715757438
2028,243.24020703456972
2029,244.58242329353908
2030,245.86865845744296
2031,247.1001139564475
2032,248.27808478543898
2033,249.40394487913716
2034,250.47913328691016
2035,251.50514120740394
2036,252.48349992313564
2037,253.41576965739512
2038,254.30352936019517
2039,255.1483674165927
2040,255.95187325940037
2041,256.7156298590055
2042,257.44120705556657
2043,258.13015569311113
2044,258.7840025108332
2045,259.40424574400714
2046,259.9923513852276
2047,260.5497500559759
2048,261.07783443864605
2049,261.57795721999
2050,262.05142949832594
